subject,title,level,credit_amount,description,last_taught
ACCT I S,INTRODUCTORY FINANCIAL ACCOUNTING,100,3,"Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes",U25
ACCT I S,INTRODUCTORY MANAGERIAL ACCOUNTING,211,3,"Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments",U25
ACCT I S,ACCOUNTING PRINCIPLES,300,3,"Examines both financial and managerial accounting for business decisions. Emphasizes preparation and interpretation of financial statements, analysis of financial information, determination of costs for products and services, and use of accounting information for planning and control of business operations",U25
ACCT I S,FINANCIAL REPORTING I,301,3,Examines current and emerging financial reporting theory and techniques used primarily to measure and disclose assets and determine income. Emphasis on analysis and measurement,U25
ACCT I S,FINANCIAL REPORTING II,302,3,Examines current and emerging financial reporting theory and techniques used primarily to measure and disclose financial claims on assets,S25
ACCT I S,COST MANAGEMENT SYSTEMS,310,3,"Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems",S25
ACCT I S,TAXATION: CONCEPTS FOR BUSINESS AND PERSONAL PLANNING,329,3,"An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns",U25
ACCT I S,ACCOUNTING INFORMATION SYSTEMS,340,3,"Understand, document, and evaluate integrated enterprise systems and critical information tracked in core business processes, applying technology to model, capture, and query data needed, and assess system design and controls",S25
ACCT I S,READING AND RESEARCH-ACCOUNTING,399,1-6,Individual work suited to the needs of undergraduate students may be arranged with a faculty member,U15
ACCT I S,BUSINESS ORGANIZATIONS AND NEGOTIABLE INSTRUMENTS,401,3,"Commercial paper, real estate and personal property, partnerships, corporations, bankruptcy",S25
ACCT I S,ACCOUNTING AND ANALYSIS FOR REPORTING ENTITIES,406,3,"Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments",S25
ACCT I S,PROFESSIONAL EXPERIENCE IN ACCOUNTING,600,1-6,An opportunity to experience a professional accounting practice first hand and to integrate this experience with the curriculum,S25
